Headline,Summary,Date,Link,Preprocessed_Summary,Sentiment,Sentiment_Label,Top_Keywords,Entities
"Frequent Cannabis Use May Damage Working Memory, Decision-Making Skills","New research shows that heavy lifetime use of cannabis — more than 1,000 times — is associated with reduced activity in areas of the brain involved in…",01-02-2025,https://www.healthline.com/health-news/frequent-cannabis-use-may-damage-working-memory,"new research show heavy lifetime use cannabis — 1,000 time — associate reduce activity area brain involve …",-0.03,Negative,"['research', 'reduce', 'associate', 'new', 'water', 'female']","[('1,000', 'CARDINAL')]"
Fate of Medicaid Uncertain During Trump's Freeze on Federal Grants,Medicaid is under review during the Trump administration's freeze on federal grants. Republican leaders are reportedly eyeing Medicaid as a major…,31-01-2025,https://www.healthline.com/health-news/trump-administration-freezes-federal-funding-medicaid,medicaid review trump administration 's freeze federal grant republican leader reportedly eye medicaid major …,0.06,Positive,"['federal', 'trump', 'female', 'jr', 'issue', 'human']","[('medicaid review', 'ORG'), ('republican', 'NORP'), ('medicaid', 'ORG')]"
Artificial sweetener may increase heart disease risk by triggering insulin surges,"A common artificial sweetener may trigger insulin spikes that lead to the build up of fatty plaques in the arteries, increasing the risk of heart…",20-02-2025,https://www.medicalnewstoday.com/articles/artificial-sweetener-triggers-insulin-spike-leading-to-blood-vessel-inflammation-in-mice,common artificial sweetener may trigger insulin spike lead build fatty plaque artery increase risk heart …,-0.37,Negative,"['common', 'lead', 'heart', 'increase', 'risk', 'may']",[]
"Drug for diabetes and kidney disease may also lower heart attack, stroke risks",An FDA-approved medication already used to treat people who have type 2 diabetes and chronic kidney disease may also help lower their stroke and heart…,19-02-2025,https://www.medicalnewstoday.com/articles/drug-diabetes-kidney-disease-may-also-lower-heart-attack-stroke-risks,fda approve medication already use treat people type 2 diabete chronic kidney disease may also help lower stroke heart …,0.0,Neutral,"['lower', 'use', 'heart', 'disease', 'people', 'help']","[('fda', 'ORG'), ('2', 'CARDINAL')]"
A natural supplement may help people with a new type of heart disease,"The supplement tricaprin, which is found in coconut or MCT oil, improved long-term survival for people with triglyceride deposit cardiomyovasculopathy,",19-02-2025,https://www.medicalnewstoday.com/articles/natural-supplement-tricaprin-may-help-people-new-type-heart-disease,supplement tricaprin find coconut mct oil improve long term survival people triglyceride deposit cardiomyovasculopathy,-0.05,Negative,"['oil', 'people', 'find', 'decrease', 'factor', 'experience']",[]
TikTok Misinformation About ADHD Is Misleading Young Adults: Study,"A new analysis found that medical misinformation surrounding attention deficit hyperactivity disorder (ADHD) is prevalent on TikTok, with the content…",21-03-2025,https://www.healthline.com/health-news/adhd-misinformation-tiktok-young-adults,new analysis find medical misinformation surround attention deficit hyperactivity disorder adhd prevalent tiktok content …,0.07,Positive,"['find', 'new', 'water', 'federal', 'human', 'high']",[]
Health misinformation and disinformation: How to avoid it,"How can we learn to spot inaccurate and even malicious health information? Why do we fall so easily for false health info, and how can we update our…",2025-02-21 00:00:00,https://www.medicalnewstoday.com/articles/health-misinformation-and-disinformation-how-to-avoid-it,learn spot inaccurate even malicious health information fall easily false health info update …,-0.4000000000000001,Negative,"['health', 'year', 'decline', 'eat', 'early', 'drug']",[]
Could the probiotic kefir help fight Alzheimer’s disease?,The probiotic-rich drink kefir may be a potential complementary treatment for Alzheimer’s disease by helping improve cognitive functioning and memory…,2025-03-23 00:00:00,https://www.medicalnewstoday.com/articles/could-probiotic-kefir-help-fight-alzheimers-disease,probiotic rich drink kefir may potential complementary treatment alzheimer ’s disease help improve cognitive functioning memory …,0.1875,Positive,"['alzheimer', 'treatment', 'disease', 'cognitive', 'help', 'may']","[('kefir', 'PERSON')]"
Red wine or white? Which one is worse for cancer risk?,"White wine may increase the risk for cancer, recent cohort studies suggest. More specifically, it is linked to increased skin cancer risk in women.",2025-03-22 00:00:00,https://www.medicalnewstoday.com/articles/is-red-wine-a-healthier-choice-than-white-wine-epidemiologists-uncork-the-cancer-risks,white wine may increase risk cancer recent cohort study suggest specifically link increase skin cancer risk woman,0.0,Neutral,"['cancer', 'increase', 'risk', 'suggest', 'link', 'recent']",[]
"Healthy plant-based diets may help people with diabetes, obesity live longer","Eating a healthy plant-based diet that includes vegetables, tea, and coffee may help people with cardiometabolic conditions—such as obesity, diabetes…",2025-03-21 00:00:00,https://www.medicalnewstoday.com/articles/healthy-plant-based-diets-may-help-diabetes-obesity-heart-disease-live-longer,eat healthy plant base diet include vegetable tea coffee may help people cardiometabolic condition — obesity diabete …,-0.15,Negative,"['eat', 'include', 'condition', 'diet', 'people', 'help']",[]
Can exercising help you live longer? Twin study says it may be complicated,"Higher and more intense levels of physical activity may not benefit life span as much as previously thought, a new study in twins finds, highlighting…",2025-03-21 00:00:00,https://www.medicalnewstoday.com/articles/can-exercising-help-you-live-longer-twin-study-complicated,high intense level physical activity may benefit life span much previously think new study twin find highlight …,0.0659393939393939,Positive,"['benefit', 'physical', 'activity', 'high', 'level', 'find']",[]
Anti-amyloid drug may help reduce the risk of early-onset Alzheimer's by 50%,"An early Alzheimer's treatment that removes amyloid plaques from the brain many years before symptoms arise may help delay the onset of dementia, a…",2025-03-20 00:00:00,https://www.medicalnewstoday.com/articles/anti-amyloid-drug-may-help-reduce-risk-early-onset-alzheimers-symptoms,early alzheimer 's treatment remove amyloid plaque brain many year symptom arise may help delay onset dementia …,0.3,Positive,"['early', 'alzheimer', 'year', 'treatment', 'brain', 'dementia']",[]
Scientists unveil how key protein malfunctions and leads to Parkinson's,"Researchers have revealed for the first time how a key protein linked to Parkinson's mutates, leads to cell death in the brain by disrupting…",2025-03-20 00:00:00,https://www.medicalnewstoday.com/articles/scientists-unveil-how-key-protein-malfunctions-leads-parkinsons-for-first-time,researcher reveal first time key protein link parkinson 's mutate lead cell death brain disrupt …,0.125,Positive,"['brain', 'link', 'year', 'decline', 'early', 'drug']","[('first', 'ORDINAL')]"
Is excessive sleepiness as we age a warning sign of dementia?,"Women aged 80 and older who experience increased sleepiness are twice as likely to develop dementia as those with stable sleep patterns, a new study…",2025-03-19 00:00:00,https://www.medicalnewstoday.com/articles/is-excessive-sleepiness-as-we-age-a-warning-sign-of-dementia,woman aged 80 old experience increase sleepiness twice likely develop dementia stable sleep pattern new study …,0.034090909090909,Positive,"['develop', 'experience', 'old', 'dementia', 'increase', 'new']","[('80 old', 'DATE')]"
Study finds why 'night owls' have a higher risk for depression than 'early risers',"Scientists have found evidence suggesting that “night owls” who prefer to stay active at night may be at a greater risk for depression than ""early…",2025-03-19 00:00:00,https://www.medicalnewstoday.com/articles/why-night-owls-have-higher-risk-depression-than-early-risers,"scientist find evidence suggest "" night owl "" prefer stay active night may great risk depression early …",0.2555555555555556,Positive,"['early', 'suggest', 'depression', 'scientist', 'find', 'risk']",[]
Is brain inflammation at the core of cognitive decline? What latest research says,"Inflammation may be at the core of cognitive decline as recent studies offer clues on how herpes simplex virus-1, antibiotics, antivirals, and…",2025-03-18 00:00:00,https://www.medicalnewstoday.com/articles/brain-health-inflammation-alzheimers-dementia-studies-hsv1-nsaid,inflammation may core cognitive decline recent study offer clue herpe simplex virus-1 antibiotic antiviral …,0.0,Neutral,"['decline', 'cognitive', 'recent', 'study', 'may', 'could']","[('herpe simplex', 'ORG')]"
Anxiety is linked to gut health: Could probiotics help treat it?,"People with anxiety can experience decreased microbial diversity and fewer short-chain fatty acid-producing bacteria, recent evidence indicates. It…",2025-03-17 00:00:00,https://www.medicalnewstoday.com/articles/anxiety-is-linked-to-gut-health-could-probiotics-help-treat-it,people anxiety experience decrease microbial diversity few short chain fatty acid produce bacteria recent evidence indicate …,-0.1,Negative,"['experience', 'bacteria', 'decrease', 'people', 'recent', 'decline']",[]
Mounjaro can boost weight loss in people without diabetes,"People without diabetes can lose up to 13% of their starting weight in 6 months using tirzepatide (Mounjaro) as an off-label treatment, according to a…",2025-03-17 00:00:00,https://www.medicalnewstoday.com/articles/mounjaro-can-boost-weight-loss-in-people-without-diabetes,people without diabetes lose 13 starting weight 6 month use tirzepatide mounjaro label treatment accord …,0.0,Neutral,"['accord', 'diabetes', 'use', 'treatment', 'people', 'activity']","[('13', 'CARDINAL'), ('6 month', 'DATE')]"
Can diet and waist-to-hip ratio predict brain health in older age?,"People who follow a healthier diet and have a lower waist-to-hip ratio during midlife may have better brain and cognitive health in older age, a new…",2025-03-16 00:00:00,https://www.medicalnewstoday.com/articles/can-diet-waist-hip-ratio-predict-brain-health-memory-aging,people follow healthy diet low waist hip ratio midlife may well brain cognitive health old age new …,0.184090909090909,Positive,"['age', 'health', 'old', 'brain', 'diet', 'cognitive']",[]
"3 factors may lower depression risk, new evidence suggests","An orange a day, regular moderate-to-vigorous exercise, and GLP-1 drugs for diabetes treatment have all been linked to a lower risk of depression in…",2025-03-15 00:00:00,https://www.medicalnewstoday.com/articles/3-factors-may-lower-depression-risk-new-evidence-suggests,orange day regular moderate vigorous exercise glp-1 drug diabetes treatment link low risk depression …,0.0,Neutral,"['exercise', 'diabetes', 'glp', 'drug', 'treatment', 'depression']",[]
"How do butter vs. plant-based oils compare in terms of death, cancer risk?",Substituting 10 grams of butter a day with an equal amount of plant-based oil was associated with an estimated 17% reduction in overall mortality and…,2025-03-14 00:00:00,https://www.medicalnewstoday.com/articles/butter-vs-plant-based-oils-compare-death-cancer-risk,substitute 10 gram butter day equal amount plant base oil associate estimate 17 reduction overall mortality …,-0.2666666666666666,Negative,"['associate', 'year', 'decline', 'eat', 'early', 'drug']","[('10 gram', 'QUANTITY'), ('17', 'CARDINAL')]"
Vitamin A can't prevent measles. What this supplement actually does,Can vitamin A and cod liver oil prevent measles? Medical experts debunk myths and answer common questions about the health benefits and risks of the…,2025-03-14 00:00:00,https://www.medicalnewstoday.com/articles/vitamin-a-measles-prevention-health-experts-answer-questions,vitamin cod liver oil prevent measle medical expert debunk myth answer common question health benefit risk …,-0.15,Negative,"['benefit', 'health', 'risk', 'year', 'decline', 'early']",[]
"Long-term ibuprofen, aspirin use linked to lower Alzheimer's risk","Nonsteroidal anti-inflammatory drug use for over 2 years was associated with a lower risk for dementia, especially Alzheimer's disease, in a recent…",2025-03-13 00:00:00,https://www.medicalnewstoday.com/articles/long-term-ibuprofen-aspirin-use-linked-to-lower-alzheimers-risk,nonsteroidal anti inflammatory drug use 2 year associate low risk dementia especially alzheimer 's disease recent …,0.0,Neutral,"['use', 'year', 'drug', 'alzheimer', 'associate', 'disease']","[('2 year', 'DATE')]"
Microplastics in the brain: How can we avoid exposure?,"Microplastics are everywhere, even in our brains but experts explain how we can limit our exposure to these insidious pollutants.",2025-03-12 00:00:00,https://www.medicalnewstoday.com/articles/microplastics-in-the-brain-how-can-we-avoid-exposure,microplastic everywhere even brain expert explain limit exposure insidious pollutant,0.0,Neutral,"['brain', 'year', 'decline', 'eat', 'early', 'drug']",[]
Reducing 7 risk factors for heart disease may help lower Alzheimer's biomarkers,Reducing seven risk factors for heart disease and having higher Life's Simple 7 scores may help decrease biomarkers for neurodegenerative diseases…,2025-03-12 00:00:00,https://www.medicalnewstoday.com/articles/reducing-7-risk-factors-heart-disease-may-help-lower-alzheimers-biomarkers-neurodegenerative,reduce seven risk factor heart disease high life 's simple 7 score may help decrease biomarker neurodegenerative disease …,0.08,Positive,"['disease', 'factor', 'high', 'decrease', 'help', 'risk']","[('seven', 'CARDINAL'), ('7', 'CARDINAL')]"
At which ages might interventions for cognitive decline be the most effective?,Scientists have found that there are certain ages where cognitive decline interventions might be most effective because of the way the brain ages.,2025-03-11 00:00:00,https://www.medicalnewstoday.com/articles/aging-window-interventions-cognitive-decline-most-effective,scientist find certain age cognitive decline intervention might effective way brain age,0.4071428571428571,Positive,"['age', 'decline', 'brain', 'scientist', 'cognitive', 'find']",[]
Could an imbalance in gut bacteria predict MS severity?,"The ratio of two types of bacteria in the gut microbiome may be able to predict disease severity in multiple sclerosis, according to a recent study in…",2025-03-10 00:00:00,https://www.medicalnewstoday.com/articles/could-an-imbalance-in-gut-bacteria-predict-ms-severity,ratio two type bacteria gut microbiome may able predict disease severity multiple sclerosis accord recent study …,0.1666666666666666,Positive,"['accord', 'bacteria', 'disease', 'recent', 'study', 'may']","[('two', 'CARDINAL')]"
Strength training could help older adults overcome insomnia,"Resistance or strength training might be the best exercise for treating insomnia in older adults, a new study suggests.",2025-03-09 00:00:00,https://www.medicalnewstoday.com/articles/strength-training-could-help-older-adults-overcome-insomnia,resistance strength training might good exercise treat insomnia old adult new study suggest,0.259090909090909,Positive,"['exercise', 'old', 'suggest', 'new', 'study', 'could']",[]
Low carb diets may increase colorectal cancer risk,"Scientists found that a low carb, low fiber diet combined with a particular strain of bacteria may increase polyps in the colon, which can lead to…",2025-03-08 00:00:00,https://www.medicalnewstoday.com/articles/low-carb-diets-low-fiber-may-increase-colorectal-cancer-risk,scientist find low carb low fiber diet combine particular strain bacteria may increase polyp colon lead …,0.0555555555555555,Positive,"['low', 'bacteria', 'diet', 'increase', 'scientist', 'find']",[]
Aspirin may prevent cancer metastasis by boosting immune response,"Through a mouse study, scientists have found that aspirin may help prevent metastases, or secondary tumors, by boosting the body’s immune response.",2025-03-07 00:00:00,https://www.medicalnewstoday.com/articles/aspirin-may-prevent-cancer-metastasis-by-boosting-immune-response,mouse study scientist find aspirin may help prevent metastasis secondary tumor boost body ’s immune response,-0.3,Negative,"['scientist', 'find', 'help', 'study', 'may', 'could']","[('mouse study', 'PERSON')]"
Intermittent fasting may help prevent blood clots,"Intermittent fasting appears to help stop platelet activation and clot formation, which could help decrease the risk of experiencing heart attacks, a…",2025-03-06 00:00:00,https://www.medicalnewstoday.com/articles/intermittent-fasting-cuts-heart-attack-risk-by-preventing-dangerous-blood-clots,intermittent fasting appear help stop platelet activation clot formation could help decrease risk experience heart attack …,0.0,Neutral,"['help', 'experience', 'decrease', 'could', 'risk', 'alzheimer']",[]
"Do diet and exercise hold the keys to longer, healthier lives?",Recent research has homed in on diet and exercise as key factors when it comes to slowing down biological aging and boosting longevity. Here is the…,2025-03-06 00:00:00,https://www.medicalnewstoday.com/articles/do-diet-and-exercise-hold-the-keys-to-longer-healthier-lives,recent research home diet exercise key factor come slow biological aging boost longevity …,-0.1,Negative,"['slow', 'exercise', 'factor', 'diet', 'recent', 'decline']",[]
Multiple menopause symptoms linked to cognitive decline risk,People who experience several menopause symptoms at the same time are more likely to develop poor cognitive function and mild behavior impairments…,2025-03-05 00:00:00,https://www.medicalnewstoday.com/articles/menopause-symptoms-associated-with-future-memory-and-cognitive-issues,people experience several menopause symptom time likely develop poor cognitive function mild behavior impairment …,-0.0166666666666666,Negative,"['develop', 'experience', 'cognitive', 'people', 'decline', 'early']",[]
"Stem cell therapy could heal injured corneas, restore vision",An experimental stem cell therapy reversed corneal damage in half of the participants from a recent clinical trial.,2025-03-05 00:00:00,https://www.medicalnewstoday.com/articles/experimental-stem-cell-therapy-could-heal-injured-corneas-restore-vision,experimental stem cell therapy reverse corneal damage half participant recent clinical trial,-0.0222222222222222,Negative,"['recent', 'year', 'could', 'early', 'drug', 'disease']","[('half', 'CARDINAL')]"
"Boosting physical activity may lower dementia, depression risk","Getting in a certain amount of daily moderate-to-vigorous physical activity can help lower the risk for neuropsychiatric disorders, including dementia,",2025-03-04 00:00:00,https://www.medicalnewstoday.com/articles/boosting-physical-activity-may-lower-dementia-depression-risk,get certain amount daily moderate vigorous physical activity help lower risk neuropsychiatric disorder include dementia,0.0535714285714285,Positive,"['activity', 'physical', 'include', 'dementia', 'help', 'risk']","[('daily', 'DATE')]"
CPAP therapy for sleep apnea may help lower Parkinson's risk,"Early use of continuous positive airway pressure (CPAP) therapy for sleep apnea could help lower Parkinson's risk, a large new study suggests.",2025-03-04 00:00:00,https://www.medicalnewstoday.com/articles/cpap-for-sleep-apnea-may-help-lower-parkinsons-risk,early use continuous positive airway pressure cpap therapy sleep apnea could help low parkinson 's risk large new study suggest,0.1355844155844155,Positive,"['early', 'use', 'could', 'suggest', 'low', 'new']",[]
"Individual organ age could predict dementia, heart disease","A blood test that detects the biological age of organs can predict the risk of health conditions many years in advance, according to a new study.",2025-03-03 00:00:00,https://www.medicalnewstoday.com/articles/individual-organ-age-could-predict-dementia-heart-disease,blood test detect biological age organ predict risk health condition many year advance accord new study,0.3181818181818182,Positive,"['accord', 'age', 'condition', 'health', 'year', 'new']",[]
Mediterranean diet could help lower cancer risk in obesity,"High adherence to a Mediterranean diet could help reduce the risk for obesity-linked cancers by 6%, a new study shows.",2025-03-02 00:00:00,https://www.medicalnewstoday.com/articles/mediterranean-diet-could-help-lower-cancer-risk-in-obesity,high adherence mediterranean diet could help reduce risk obesity link cancer 6 new study show,0.1481818181818182,Positive,"['cancer', 'could', 'high', 'diet', 'link', 'new']","[('mediterranean', 'LOC'), ('6', 'CARDINAL')]"
Can antidepressants speed up cognitive decline in dementia?,"In a study of thousands of people with dementia, researchers found that treatment with antidepressants was linked to faster cognitive decline — though…",2025-03-01 00:00:00,https://www.medicalnewstoday.com/articles/can-antidepressants-speed-up-cognitive-decline-in-dementia,study thousand people dementia researcher find treatment antidepressant link fast cognitive decline — though …,0.2,Positive,"['decline', 'treatment', 'dementia', 'cognitive', 'link', 'people']","[('thousand', 'CARDINAL')]"
Eating citrus fruit like oranges tied to 20% lower depression risk,"Eating oranges and other citrus fruit may help decrease depression risk, a recent study suggests.",2025-02-28 00:00:00,https://www.medicalnewstoday.com/articles/eating-citrus-fruit-like-oranges-tied-to-20-lower-depression-risk,eat orange citrus fruit may help decrease depression risk recent study suggest,0.0,Neutral,"['eat', 'decrease', 'suggest', 'depression', 'recent', 'help']",[]
Both lower and higher B12 levels may be linked to cognitive issues in older people,"Scientists have found that those with lower B12 levels had slower processing speed, and higher levels were associated with more biomarkers of…",2025-02-27 00:00:00,https://www.medicalnewstoday.com/articles/lower-higher-b12-levels-may-be-linked-to-cognitive-issues-older-people-neurodegeneration,scientist find low b12 level slow processing speed high level associate biomarker …,-0.0466666666666666,Negative,"['level', 'slow', 'associate', 'high', 'scientist', 'low']",[]
"Milk may help boost gut health, while cheese could harm it","Drinking more milk was linked to an increase in bacteria that may support gut health, while consuming more cheese seemed to lower levels of other…",2025-02-26 00:00:00,https://www.medicalnewstoday.com/articles/milk-may-help-boost-gut-health-while-cheese-could-harm-it,drink milk link increase bacteria may support gut health consume cheese seem low level …,0.0,Neutral,"['bacteria', 'health', 'level', 'increase', 'link', 'low']",[]
Which diabetes drugs are linked to the lowest depression risk?,"Compared to other diabetes medications, GLP-1 drugs like Ozempic were associated with a lower risk for depression in a recent study.",2025-02-25 00:00:00,https://www.medicalnewstoday.com/articles/which-diabetes-drugs-are-linked-to-the-lowest-depression-risk,compare diabetes medication glp-1 drug like ozempic associate low risk depression recent study,0.0,Neutral,"['diabetes', 'glp', 'drug', 'associate', 'depression', 'low']",[]
